,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
0,ViT-B-16-SigLIP,webli,sigmoid,0,airfield,airfield,0,airfield,airfield,indomain,eval--00--airfield--inclass--indomain--sigmoid,0.9130666666666667,0.8691367757193535,0.8732673267326733,0.8711971552745951,0.06522815936477994,0.019626860624563213,0.020444911537107358
1,ViT-B-16-SigLIP,webli,isotonic,0,airfield,airfield,0,airfield,airfield,indomain,eval--00--airfield--inclass--indomain--isotonic,0.9114666666666666,0.8552882779686903,0.8871287128712871,0.8709175738724728,0.06504324455497378,0.01118639407574665,0.009882568950648419
2,ViT-B-16-SigLIP,webli,SBA,0,airfield,airfield,0,airfield,airfield,indomain,eval--00--airfield--inclass--indomain--SBA,0.948,0.9158550837553564,0.9310891089108911,0.9234092694422624,0.04316582564849141,0.05443278345068151,0.05556008738557842
3,ViT-B-16-SigLIP,webli,siglip,0,airfield,airfield,0,airfield,airfield,indomain,eval--00--airfield--inclass--indomain--siglip,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
4,ViT-B-16-SigLIP,webli,sigmoid,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,indomain,eval--01--stadium-baseball--inclass--indomain--sigmoid,0.9814369658119658,0.9739269955876454,0.9704236610711431,0.9721721721721722,0.016511401113338067,0.012105683691029797,0.009049057894399515
5,ViT-B-16-SigLIP,webli,isotonic,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,indomain,eval--01--stadium-baseball--inclass--indomain--isotonic,0.9797008547008547,0.9579111457521434,0.982414068745004,0.9700078926598263,0.016136913147383206,0.005811983450045824,0.004729628583200427
6,ViT-B-16-SigLIP,webli,SBA,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,indomain,eval--01--stadium-baseball--inclass--indomain--SBA,0.9914529914529915,0.9837301587301587,0.9908073541167066,0.9872560732775787,0.007886809291317076,0.014761329774825782,0.01360638995340783
7,ViT-B-16-SigLIP,webli,siglip,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,indomain,eval--01--stadium-baseball--inclass--indomain--siglip,0.9802350427350427,0.9626572327044025,0.9788169464428457,0.9706698374950455,0.01623688227134681,0.011218694552691286,0.010136188395607863
8,ViT-B-16-SigLIP,webli,sigmoid,2,beach,beach,2,beach,beach,indomain,eval--02--beach--inclass--indomain--sigmoid,0.9456898852415265,0.9162406606370429,0.9231378763866878,0.9196763370830866,0.04137076244198209,0.009692874821160461,0.0074902167076076834
9,ViT-B-16-SigLIP,webli,isotonic,2,beach,beach,2,beach,beach,indomain,eval--02--beach--inclass--indomain--isotonic,0.9456898852415265,0.9212097095105451,0.9171949286846276,0.9191979352789359,0.04164992523623524,0.009705011499633315,0.008275739853786717
10,ViT-B-16-SigLIP,webli,SBA,2,beach,beach,2,beach,beach,indomain,eval--02--beach--inclass--indomain--SBA,0.9563650920736589,0.9233140655105972,0.9492868462757528,0.9361203360031256,0.033582427155551445,0.015799185808554984,0.01537102421827645
11,ViT-B-16-SigLIP,webli,siglip,2,beach,beach,2,beach,beach,indomain,eval--02--beach--inclass--indomain--siglip,0.9202028289298105,0.8195089581950896,0.9786053882725833,0.892018779342723,0.06322535985158939,0.07983774675948149,0.08015151249254472
12,ViT-B-16-SigLIP,webli,sigmoid,3,bridge,bridge,3,bridge,bridge,indomain,eval--03--bridge--inclass--indomain--sigmoid,0.9106212424849699,0.8651729559748428,0.8709932726553226,0.8680733583119701,0.06700329957171097,0.014440807950208594,0.01447587226674177
13,ViT-B-16-SigLIP,webli,isotonic,3,bridge,bridge,3,bridge,bridge,indomain,eval--03--bridge--inclass--indomain--isotonic,0.9139612558450234,0.8592140404425792,0.891175306687772,0.8749028749028749,0.0668205263786587,0.012628680794452212,0.011769238785382065
14,ViT-B-16-SigLIP,webli,SBA,3,bridge,bridge,3,bridge,bridge,indomain,eval--03--bridge--inclass--indomain--SBA,0.9152972611890448,0.859203036053131,0.8959240205777602,0.8771793878341728,0.06293211466515593,0.021018381395460285,0.021171380172274587
15,ViT-B-16-SigLIP,webli,siglip,3,bridge,bridge,3,bridge,bridge,indomain,eval--03--bridge--inclass--indomain--siglip,0.8370073480293921,0.6801764543700027,0.9762564305500594,0.8017549561260968,0.13065268603233202,0.16665198045206595,0.17497015235047733
16,ViT-B-16-SigLIP,webli,sigmoid,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,indomain,eval--04--church-outdoor--inclass--indomain--sigmoid,0.789924973204716,0.7332681973619931,0.5949266745937376,0.6568927789934355,0.14972388956889865,0.025090426202841024,0.026883740754364335
17,ViT-B-16-SigLIP,webli,isotonic,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,indomain,eval--04--church-outdoor--inclass--indomain--isotonic,0.792470525187567,0.7079419299743809,0.6571541815299247,0.6816032887975334,0.148374032873681,0.01697576801979561,0.016563090719736807
18,ViT-B-16-SigLIP,webli,SBA,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,indomain,eval--04--church-outdoor--inclass--indomain--SBA,0.8204715969989282,0.7950124688279302,0.6317875544986128,0.7040636042402827,0.13224342822872645,0.07767982454628687,0.08549155123753419
19,ViT-B-16-SigLIP,webli,siglip,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,indomain,eval--04--church-outdoor--inclass--indomain--siglip,0.7903269024651661,0.6893280632411067,0.69124058660325,0.6902830001979022,0.16545108079059886,0.10922658867239975,0.1164301608462225
20,ViT-B-16-SigLIP,webli,sigmoid,5,desert-sand,sand desert,5,desert-sand,sand desert,indomain,eval--05--desert-sand--inclass--indomain--sigmoid,0.9637738853503185,0.9490573606097071,0.9418789808917197,0.9454545454545454,0.027815694489670802,0.009818871530275641,0.00827651346007633
21,ViT-B-16-SigLIP,webli,isotonic,5,desert-sand,sand desert,5,desert-sand,sand desert,indomain,eval--05--desert-sand--inclass--indomain--isotonic,0.9612526539278131,0.9319066147859922,0.9534235668789809,0.9425423061786699,0.027866465565269186,0.006888805513886171,0.006490445500352866
