,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
0,ViT-B-16-SigLIP,webli,sigmoid,0,airfield,airfield,0,airfield,airfield,ood,eval--00--airfield--inclass--ood--sigmoid,0.6478102189781022,0.48257372654155495,1.0,0.650994575045208,0.24455847524936952,0.29877058994981476,0.32838261443499245
1,ViT-B-16-SigLIP,webli,isotonic,0,airfield,airfield,0,airfield,airfield,ood,eval--00--airfield--inclass--ood--isotonic,0.6304744525547445,0.47058823529411764,1.0,0.64,0.26363874644310503,0.2972591687938278,0.3253726301532932
2,ViT-B-16-SigLIP,webli,SBA,0,airfield,airfield,0,airfield,airfield,ood,eval--00--airfield--inclass--ood--SBA,0.6934306569343066,0.5172413793103449,1.0,0.6818181818181818,0.19729525860162336,0.26360921195455206,0.2784866517777782
3,ViT-B-16-SigLIP,webli,siglip,0,airfield,airfield,0,airfield,airfield,ood,eval--00--airfield--inclass--ood--siglip,0.5218978102189781,0.4072398190045249,1.0,0.5787781350482315,0.3921836572938483,0.36377927069670674,0.44775667056473617
4,ViT-B-16-SigLIP,webli,sigmoid,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,ood,eval--01--stadium-baseball--inclass--ood--sigmoid,0.9133034379671151,0.7913669064748201,1.0,0.8835341365461847,0.061426340870388285,0.10722377325502136,0.1071282909928691
5,ViT-B-16-SigLIP,webli,isotonic,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,ood,eval--01--stadium-baseball--inclass--ood--isotonic,0.8849028400597907,0.7407407407407407,1.0,0.851063829787234,0.06688276623651428,0.0944798644839139,0.09426308639614839
6,ViT-B-16-SigLIP,webli,SBA,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,ood,eval--01--stadium-baseball--inclass--ood--SBA,0.9162929745889388,0.7971014492753623,1.0,0.8870967741935484,0.06574296989858444,0.10503565146398344,0.10483108139070922
7,ViT-B-16-SigLIP,webli,siglip,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,ood,eval--01--stadium-baseball--inclass--ood--siglip,0.8968609865470852,0.7612456747404844,1.0,0.8644400785854617,0.08162133795796053,0.12165403763099743,0.12291169848730893
8,ViT-B-16-SigLIP,webli,sigmoid,2,beach,beach,2,beach,beach,ood,eval--02--beach--inclass--ood--sigmoid,0.9735318444995864,0.931924882629108,0.9925,0.9612590799031477,0.019548583847380636,0.03974619095004053,0.0404182648898463
9,ViT-B-16-SigLIP,webli,isotonic,2,beach,beach,2,beach,beach,ood,eval--02--beach--inclass--ood--isotonic,0.9768403639371381,0.9407582938388626,0.9925,0.9659367396593674,0.019449141421415916,0.03838868281687214,0.03879670425055501
