,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
0,ViT-B-16-SigLIP,webli,sigmoid,0,airfield,airfield,0,airfield,airfield,xfer,eval--00--airfield--xfer--00--airfield--indomain,0.9130666666666667,0.8691367757193535,0.8732673267326733,0.8711971552745951,0.06522815936477994,0.019626860624563213,0.020444911537107358
1,ViT-B-16-SigLIP,webli,isotonic,0,airfield,airfield,0,airfield,airfield,xfer,eval--00--airfield--xfer--00--airfield--indomain,0.9114666666666666,0.8552882779686903,0.8871287128712871,0.8709175738724728,0.06504324455497378,0.01118639407574665,0.009882568950648419
2,ViT-B-16-SigLIP,webli,siglip,0,airfield,airfield,0,airfield,airfield,xfer,eval--00--airfield--xfer--00--airfield--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
3,ViT-B-16-SigLIP,webli,sigmoid,1,stadium-baseball,baseball stadium,0,airfield,airfield,xfer,eval--00--airfield--xfer--01--stadium-baseball--indomain,0.9025333333333333,0.800603217158177,0.9461386138613861,0.8673080413868216,0.07332442442657723,0.06329030910722205,0.06340471573187133
4,ViT-B-16-SigLIP,webli,isotonic,1,stadium-baseball,baseball stadium,0,airfield,airfield,xfer,eval--00--airfield--xfer--01--stadium-baseball--indomain,0.8701333333333333,0.7293700088731144,0.9766336633663366,0.8350829664747714,0.07765777403042183,0.06354602052578574,0.06383649200873139
5,ViT-B-16-SigLIP,webli,siglip,1,stadium-baseball,baseball stadium,0,airfield,airfield,xfer,eval--00--airfield--xfer--01--stadium-baseball--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
6,ViT-B-16-SigLIP,webli,sigmoid,2,beach,beach,0,airfield,airfield,xfer,eval--00--airfield--xfer--02--beach--indomain,0.9070666666666667,0.8929492691315564,0.8225742574257425,0.8563182848897135,0.06887997678498983,0.03607378787071186,0.03778223443667871
7,ViT-B-16-SigLIP,webli,isotonic,2,beach,beach,0,airfield,airfield,xfer,eval--00--airfield--xfer--02--beach--indomain,0.9024,0.8986216096042685,0.8003960396039604,0.8466694595726854,0.06928523609275429,0.036854058725294105,0.0382578142525473
8,ViT-B-16-SigLIP,webli,siglip,2,beach,beach,0,airfield,airfield,xfer,eval--00--airfield--xfer--02--beach--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
9,ViT-B-16-SigLIP,webli,sigmoid,3,bridge,bridge,0,airfield,airfield,xfer,eval--00--airfield--xfer--03--bridge--indomain,0.8449333333333333,0.9359795134443022,0.579009900990099,0.7154391974553462,0.10338984884448003,0.11740644006725244,0.11921254226609122
10,ViT-B-16-SigLIP,webli,isotonic,3,bridge,bridge,0,airfield,airfield,xfer,eval--00--airfield--xfer--03--bridge--indomain,0.8625333333333334,0.93279258400927,0.6376237623762376,0.7574688308633263,0.0898014386074399,0.09975087680385789,0.10188344786766296
11,ViT-B-16-SigLIP,webli,siglip,3,bridge,bridge,0,airfield,airfield,xfer,eval--00--airfield--xfer--03--bridge--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
12,ViT-B-16-SigLIP,webli,sigmoid,4,church-outdoor,outdoor church,0,airfield,airfield,xfer,eval--00--airfield--xfer--04--church-outdoor--indomain,0.9073333333333333,0.8174878556557946,0.9330693069306931,0.8714629184390604,0.08685001506387137,0.11385389384202955,0.1290284519731688
13,ViT-B-16-SigLIP,webli,isotonic,4,church-outdoor,outdoor church,0,airfield,airfield,xfer,eval--00--airfield--xfer--04--church-outdoor--indomain,0.8929333333333334,0.774728781110402,0.9615841584158416,0.8581021381869588,0.08887574964424272,0.10888270456477259,0.1263745744150132
14,ViT-B-16-SigLIP,webli,siglip,4,church-outdoor,outdoor church,0,airfield,airfield,xfer,eval--00--airfield--xfer--04--church-outdoor--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
15,ViT-B-16-SigLIP,webli,sigmoid,5,desert-sand,sand desert,0,airfield,airfield,xfer,eval--00--airfield--xfer--05--desert-sand--indomain,0.9097333333333333,0.830945558739255,0.9188118811881189,0.8726725597141245,0.0674063422157822,0.034791498589360745,0.03799083434060511
16,ViT-B-16-SigLIP,webli,isotonic,5,desert-sand,sand desert,0,airfield,airfield,xfer,eval--00--airfield--xfer--05--desert-sand--indomain,0.8977333333333334,0.7868798955613577,0.9548514851485148,0.8627661477903024,0.0695796793080173,0.036788943149250616,0.03937663895079556
17,ViT-B-16-SigLIP,webli,siglip,5,desert-sand,sand desert,0,airfield,airfield,xfer,eval--00--airfield--xfer--05--desert-sand--indomain,0.88,0.7477889600487954,0.9710891089108911,0.844934527911785,0.08886265322382633,0.10228349772487619,0.10290353377812338
18,ViT-B-16-SigLIP,webli,sigmoid,6,farm,farm,0,airfield,airfield,xfer,eval--00--airfield--xfer--06--farm--indomain,0.8929333333333334,0.9088319088319088,0.758019801980198,0.8266033254156769,0.0785832124434149,0.07452807243109189,0.07982241318771655
