,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
0,ViT-B-32-quickgelu,openai,sigmoid,0,airfield,airfield,0,airfield,airfield,indomain,eval--00--airfield--inclass--indomain--sigmoid,0.8843492147990418,0.8374183006535948,0.8131693772312575,0.8251157174481787,0.08283038710377195,0.022849684621158443,0.023797616050774805
1,ViT-B-32-quickgelu,openai,isotonic,0,airfield,airfield,0,airfield,airfield,indomain,eval--00--airfield--inclass--indomain--isotonic,0.8848815544317274,0.833065164923572,0.8214994049980167,0.8272418613940483,0.08216522625204467,0.009603335141459873,0.007591434570837747
2,ViT-B-32-quickgelu,openai,SBA,0,airfield,airfield,0,airfield,airfield,indomain,eval--00--airfield--inclass--indomain--SBA,0.9260047910566942,0.9109159347553325,0.8639428798095994,0.8868078175895765,0.05694222011226303,0.06724403824662364,0.07139944460587229
3,ViT-B-32-quickgelu,openai,sigmoid,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,indomain,eval--01--stadium-baseball--inclass--indomain--sigmoid,0.9330143540669856,0.9182203389830509,0.8744955609362389,0.895824720959074,0.05042944713474767,0.015729154321596633,0.01511351609216817
4,ViT-B-32-quickgelu,openai,isotonic,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,indomain,eval--01--stadium-baseball--inclass--indomain--isotonic,0.9307549175970229,0.8985743380855398,0.8902340597255851,0.8943847557267383,0.050322713866637205,0.01328630453527144,0.011578588546211655
5,ViT-B-32-quickgelu,openai,SBA,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,indomain,eval--01--stadium-baseball--inclass--indomain--SBA,0.9585326953748007,0.9620307167235495,0.9100080710250201,0.9352965574450436,0.030354771731078905,0.04241350832765127,0.043836567181510265
6,ViT-B-32-quickgelu,openai,sigmoid,2,beach,beach,2,beach,beach,indomain,eval--02--beach--inclass--indomain--sigmoid,0.9311676208227933,0.9079429735234216,0.8845238095238095,0.8960804020100502,0.05234009327389398,0.010988899045685323,0.009355964635558675
7,ViT-B-32-quickgelu,openai,isotonic,2,beach,beach,2,beach,beach,indomain,eval--02--beach--inclass--indomain--isotonic,0.9310344827586207,0.8937844217151849,0.9015873015873016,0.8976689055709206,0.05225502004327405,0.010188453474992249,0.008220349587591852
8,ViT-B-32-quickgelu,openai,SBA,2,beach,beach,2,beach,beach,indomain,eval--02--beach--inclass--indomain--SBA,0.9431500465983225,0.9051490514905149,0.9277777777777778,0.9163237311385459,0.041361662478762044,0.024665319913320775,0.02477430249458567
9,ViT-B-32-quickgelu,openai,sigmoid,3,bridge,bridge,3,bridge,bridge,indomain,eval--03--bridge--inclass--indomain--sigmoid,0.8917737448668698,0.8433589018974565,0.829626687847498,0.8364364364364364,0.08341105238030601,0.025413668535777704,0.025305969062092527
