,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
0,ViT-B-32-quickgelu,openai,sigmoid,0,airfield,airfield,0,airfield,airfield,ood,eval--00--airfield--inclass--ood--sigmoid,0.563302752293578,0.4304556354916067,0.9972222222222222,0.6013400335008375,0.3020169201234146,0.34374268939525515,0.40190259234834497
1,ViT-B-32-quickgelu,openai,isotonic,0,airfield,airfield,0,airfield,airfield,ood,eval--00--airfield--inclass--ood--isotonic,0.5577981651376147,0.42738095238095236,0.9972222222222222,0.5983333333333334,0.32054726865504507,0.3424720773958789,0.39812701428650854
2,ViT-B-32-quickgelu,openai,SBA,0,airfield,airfield,0,airfield,airfield,ood,eval--00--airfield--inclass--ood--SBA,0.7330275229357798,0.5533230293663061,0.9944444444444445,0.7110228401191658,0.18888423909172497,0.26443051664815903,0.28018846039600465
3,ViT-B-32-quickgelu,openai,sigmoid,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,ood,eval--01--stadium-baseball--inclass--ood--sigmoid,0.8445121951219512,0.6832298136645962,1.0,0.8118081180811808,0.10980276150149261,0.1959938042150344,0.19827157813521876
4,ViT-B-32-quickgelu,openai,isotonic,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,ood,eval--01--stadium-baseball--inclass--ood--isotonic,0.823170731707317,0.6547619047619048,1.0,0.7913669064748201,0.12339216541721741,0.19999841361469642,0.2021630455217347
5,ViT-B-32-quickgelu,openai,SBA,1,stadium-baseball,baseball stadium,1,stadium-baseball,baseball stadium,ood,eval--01--stadium-baseball--inclass--ood--SBA,0.9161585365853658,0.8,1.0,0.8888888888888888,0.07757188019524723,0.15021258146840316,0.15049781812221472
6,ViT-B-32-quickgelu,openai,sigmoid,2,beach,beach,2,beach,beach,ood,eval--02--beach--inclass--ood--sigmoid,0.9522184300341296,0.8788546255506607,0.9975,0.9344262295081968,0.0350472623137792,0.05930535305580396,0.05934686685742754
7,ViT-B-32-quickgelu,openai,isotonic,2,beach,beach,2,beach,beach,ood,eval--02--beach--inclass--ood--isotonic,0.9462457337883959,0.8655097613882863,0.9975,0.926829268292683,0.03711662634980919,0.058583875123985836,0.05864246379037359
8,ViT-B-32-quickgelu,openai,SBA,2,beach,beach,2,beach,beach,ood,eval--02--beach--inclass--ood--SBA,0.9445392491467577,0.8617710583153347,0.9975,0.9246813441483198,0.04224525793082708,0.07256359797350115,0.07942960421243243
9,ViT-B-32-quickgelu,openai,sigmoid,3,bridge,bridge,3,bridge,bridge,ood,eval--03--bridge--inclass--ood--sigmoid,0.9562790697674418,0.9458689458689459,0.9222222222222223,0.9338959212376934,0.04356666812856687,0.09180882148874071,0.09691206162232299
10,ViT-B-32-quickgelu,openai,isotonic,3,bridge,bridge,3,bridge,bridge,ood,eval--03--bridge--inclass--ood--isotonic,0.9618604651162791,0.9230769230769231,0.9666666666666667,0.9443690637720489,0.04188188025462761,0.0849015930981387,0.08919719682399964
11,ViT-B-32-quickgelu,openai,SBA,3,bridge,bridge,3,bridge,bridge,ood,eval--03--bridge--inclass--ood--SBA,0.9441860465116279,0.8712871287128713,0.9777777777777777,0.9214659685863874,0.048480167359427354,0.08572908888476573,0.09179454755557831
12,ViT-B-32-quickgelu,openai,sigmoid,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,ood,eval--04--church-outdoor--inclass--ood--sigmoid,0.8892005610098177,0.9763313609467456,0.6875,0.8068459657701712,0.09014478952930804,0.11365140826554368,0.128353596354742
13,ViT-B-32-quickgelu,openai,isotonic,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,ood,eval--04--church-outdoor--inclass--ood--isotonic,0.9172510518934082,0.9371980676328503,0.8083333333333333,0.8680089485458613,0.07961088285137952,0.09271000497375662,0.10310552195028035
14,ViT-B-32-quickgelu,openai,SBA,4,church-outdoor,outdoor church,4,church-outdoor,outdoor church,ood,eval--04--church-outdoor--inclass--ood--SBA,0.8008415147265077,0.9803921568627451,0.4166666666666667,0.5847953216374269,0.12786827684274757,0.12288025372183033,0.14641922941303395
15,ViT-B-32-quickgelu,openai,sigmoid,5,desert-sand,sand desert,5,desert-sand,sand desert,ood,eval--05--desert-sand--inclass--ood--sigmoid,0.927144535840188,0.8287292817679558,1.0,0.9063444108761329,0.056327095754051704,0.09291402631172285,0.0927850044519029
16,ViT-B-32-quickgelu,openai,isotonic,5,desert-sand,sand desert,5,desert-sand,sand desert,ood,eval--05--desert-sand--inclass--ood--isotonic,0.9353701527614571,0.8450704225352113,1.0,0.916030534351145,0.05733569209872861,0.09256205955438185,0.09246252687975161
