,model_name,provider,calibration_method,train_class_id,train_class_name,train_class_name_clean,test_class_id,test_class_name,test_class_name_clean,test_class_domain,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece
0,ViT-B-32-quickgelu,openai,sigmoid,0,airfield,airfield,0,airfield,airfield,xfer,eval--00--airfield--xfer--00--airfield--indomain,0.8843492147990418,0.8374183006535948,0.8131693772312575,0.8251157174481787,0.08283038710377195,0.022849684621158443,0.023797616050774805
1,ViT-B-32-quickgelu,openai,isotonic,0,airfield,airfield,0,airfield,airfield,xfer,eval--00--airfield--xfer--00--airfield--indomain,0.8848815544317274,0.833065164923572,0.8214994049980167,0.8272418613940483,0.08216522625204467,0.009603335141459873,0.007591434570837747
2,ViT-B-32-quickgelu,openai,sigmoid,1,stadium-baseball,baseball stadium,0,airfield,airfield,xfer,eval--00--airfield--xfer--01--stadium-baseball--indomain,0.884748469523556,0.8362454286875254,0.8163427211424038,0.8261742272179847,0.08269136879608462,0.02120124788318001,0.02231615080148185
3,ViT-B-32-quickgelu,openai,isotonic,1,stadium-baseball,baseball stadium,0,airfield,airfield,xfer,eval--00--airfield--xfer--01--stadium-baseball--indomain,0.8832845355336705,0.8147013782542113,0.8441094803649345,0.8291447496590688,0.08305336305948882,0.01653811927350055,0.016347858894093688
4,ViT-B-32-quickgelu,openai,sigmoid,2,beach,beach,0,airfield,airfield,xfer,eval--00--airfield--xfer--02--beach--indomain,0.8835507053500133,0.8160522273425499,0.8429194763982547,0.8292682926829268,0.08271805203145463,0.023048308603079586,0.023854172208292602
5,ViT-B-32-quickgelu,openai,isotonic,2,beach,beach,0,airfield,airfield,xfer,eval--00--airfield--xfer--02--beach--indomain,0.882486026084642,0.7918745545260156,0.8813962713209044,0.8342406607846818,0.0835060133132478,0.027396333991635248,0.028509766502138045
6,ViT-B-32-quickgelu,openai,sigmoid,3,bridge,bridge,0,airfield,airfield,xfer,eval--00--airfield--xfer--03--bridge--indomain,0.8376364120308757,0.9088623507228158,0.5735819119397064,0.703307392996109,0.10877766254103761,0.10014814241676157,0.1059562928665227
7,ViT-B-32-quickgelu,openai,isotonic,3,bridge,bridge,0,airfield,airfield,xfer,eval--00--airfield--xfer--03--bridge--indomain,0.8605270162363587,0.8944831280128549,0.6624355414518048,0.7611668185961714,0.10021684396616742,0.08922157389581561,0.09051869921518862
8,ViT-B-32-quickgelu,openai,sigmoid,4,church-outdoor,outdoor church,0,airfield,airfield,xfer,eval--00--airfield--xfer--04--church-outdoor--indomain,0.8784934788394996,0.8722222222222222,0.7473224910749703,0.8049562059389019,0.09300562308356161,0.08154250254408696,0.08829014204129663
9,ViT-B-32-quickgelu,openai,isotonic,4,church-outdoor,outdoor church,0,airfield,airfield,xfer,eval--00--airfield--xfer--04--church-outdoor--indomain,0.8828852808091563,0.8226504128981518,0.8298294327647758,0.8262243285939969,0.08803275446095303,0.060683476603514766,0.06427357005107119
10,ViT-B-32-quickgelu,openai,sigmoid,5,desert-sand,sand desert,0,airfield,airfield,xfer,eval--00--airfield--xfer--05--desert-sand--indomain,0.8755656108597285,0.8787010506208214,0.7298690995636652,0.7973997833152763,0.08968420838616897,0.05292919613582045,0.054361448770555744
11,ViT-B-32-quickgelu,openai,isotonic,5,desert-sand,sand desert,0,airfield,airfield,xfer,eval--00--airfield--xfer--05--desert-sand--indomain,0.870907639073729,0.8856290402784684,0.7064656882189607,0.7859664607237423,0.08822673854651557,0.051015733763392815,0.05235634982577045
12,ViT-B-32-quickgelu,openai,sigmoid,6,farm,farm,0,airfield,airfield,xfer,eval--00--airfield--xfer--06--farm--indomain,0.8561352142667021,0.8995560488346281,0.6429988099960333,0.749942169789498,0.09966445720838082,0.08557201074934934,0.0947247920365432
13,ViT-B-32-quickgelu,openai,isotonic,6,farm,farm,0,airfield,airfield,xfer,eval--00--airfield--xfer--06--farm--indomain,0.8733031674208145,0.8832437713727406,0.7171757239190797,0.7915936952714536,0.09791804014326114,0.08147452380119899,0.08930070156962937
14,ViT-B-32-quickgelu,openai,sigmoid,7,forest-broadleaf,broadleaf forest,0,airfield,airfield,xfer,eval--00--airfield--xfer--07--forest-broadleaf--indomain,0.8774287995741283,0.8780718336483931,0.7370091233637446,0.8013802027172741,0.0884833241934745,0.04947352232571287,0.05328188376700626
15,ViT-B-32-quickgelu,openai,isotonic,7,forest-broadleaf,broadleaf forest,0,airfield,airfield,xfer,eval--00--airfield--xfer--07--forest-broadleaf--indomain,0.8772957146659569,0.8776570618800189,0.7370091233637446,0.8012074169900819,0.08898062191240044,0.05080701402549853,0.05497517877723526
16,ViT-B-32-quickgelu,openai,sigmoid,8,industrial_area,industrial area,0,airfield,airfield,xfer,eval--00--airfield--xfer--08--industrial_area--indomain,0.8846153846153846,0.8300079808459697,0.8250694168980564,0.8275313308136065,0.08647963751634757,0.053175305468902506,0.05685596415868441
17,ViT-B-32-quickgelu,openai,isotonic,8,industrial_area,industrial area,0,airfield,airfield,xfer,eval--00--airfield--xfer--08--industrial_area--indomain,0.8844822997072131,0.838036809815951,0.8127727092423641,0.8252114377768828,0.08694833187003162,0.05308444857631555,0.056362999629537065
