,model_name,provider,target_class_id,target_class_name,target_class_name_clean,calibration_method,slug,accuracy,precision,recall,f1,brier_score,sm_ece,binned_ece,ood_accuracy,ood_precision,ood_recall,ood_f1,ood_brier_score,ood_sm_ece,ood_binned_ece
0,ViT-B-32-quickgelu,openai,0,airfield,airfield,sigmoid,openai--ViT-B-32-quickgelu--00--airfield--sigmoid,0.8808949624866024,0.8345740281224152,0.8049461507778221,0.8194923857868021,0.08356095991846324,0.027694301587773876,0.028966056937511916,0.5597082953509571,0.4268727705112961,0.9972222222222222,0.5978351373855121,0.3212855504764481,0.35213402675887984,0.4168779966400201
1,ViT-B-32-quickgelu,openai,0,airfield,airfield,isotonic,openai--ViT-B-32-quickgelu--00--airfield--isotonic,0.8819667738478028,0.8275584206285254,0.819305943358596,0.8234115053116857,0.08279187016799096,0.014460323257638057,0.0124442312504102,0.544211485870556,0.4184149184149184,0.9972222222222222,0.5894909688013136,0.32853397597381234,0.3530843989935925,0.4176392802147665
2,ViT-B-32-quickgelu,openai,0,airfield,airfield,sba,openai--ViT-B-32-quickgelu--00--airfield--sba,0.9212218649517685,0.9033207229928542,0.8571998404467491,0.8796561604584527,0.058966784375633456,0.06603336100131313,0.07079120654131803,0.6763901549680948,0.5035161744022504,0.9944444444444445,0.6685340802987861,0.20059166826688307,0.2764466610492625,0.2967648079640885
3,ViT-B-32-quickgelu,openai,1,stadium-baseball,baseball stadium,sigmoid,openai--ViT-B-32-quickgelu--01--stadium-baseball--sigmoid,0.9340498938428875,0.9266132433572333,0.8718253968253968,0.898384788386833,0.04901116652075598,0.015925971198525304,0.014667570823592161,0.8179148311306902,0.6395348837209303,1.0,0.7801418439716312,0.1291723191978229,0.21534962681994219,0.21926688333383862
4,ViT-B-32-quickgelu,openai,1,stadium-baseball,baseball stadium,isotonic,openai--ViT-B-32-quickgelu--01--stadium-baseball--isotonic,0.9337845010615711,0.9033932135728543,0.898015873015873,0.9006965174129353,0.049036014897244434,0.0097635289788414,0.010978056247160235,0.7841409691629956,0.5994550408719346,1.0,0.7495741056218058,0.14095549352350428,0.21766246048444973,0.2219915803954027
5,ViT-B-32-quickgelu,openai,1,stadium-baseball,baseball stadium,sba,openai--ViT-B-32-quickgelu--01--stadium-baseball--sba,0.961119957537155,0.9684476230542701,0.9134920634920635,0.9401674494588523,0.029968026851039126,0.042935045676553055,0.04321669131288813,0.8869309838472834,0.7407407407407407,1.0,0.851063829787234,0.0841802808560508,0.1627771549068469,0.163105895158817
6,ViT-B-32-quickgelu,openai,2,beach,beach,sigmoid,openai--ViT-B-32-quickgelu--02--beach--sigmoid,0.9287737757992716,0.9001208215867902,0.8886679920477137,0.8943577430972389,0.05354937687402259,0.011877469921869022,0.011819409981932774,0.9632721202003339,0.9027149321266968,0.9975,0.9477434679334917,0.029020392877005554,0.05043738109932093,0.05047173276030049
7,ViT-B-32-quickgelu,openai,2,beach,beach,isotonic,openai--ViT-B-32-quickgelu--02--beach--isotonic,0.9302576554701201,0.890234375,0.9061630218687873,0.898128078817734,0.05366166047251038,0.011938933406115803,0.011615545732340677,0.9599332220367279,0.8946188340807175,0.9975,0.9432624113475178,0.029725690741583627,0.04671897417431424,0.046791502020363765
8,ViT-B-32-quickgelu,openai,2,beach,beach,sba,openai--ViT-B-32-quickgelu--02--beach--sba,0.9409146094698503,0.902987970508343,0.925248508946322,0.9139827179890023,0.04385616183986224,0.024956566902639577,0.026306173729680804,0.9649415692821369,0.9068181818181819,0.9975,0.95,0.02790658199102145,0.06433679232352121,0.07050535766169186
9,ViT-B-32-quickgelu,openai,3,bridge,bridge,sigmoid,openai--ViT-B-32-quickgelu--03--bridge--sigmoid,0.8886951857315274,0.8399675060926076,0.8258785942492013,0.8328634716069271,0.08417515678866512,0.01999183200711626,0.020757398278193163,0.9551954242135366,0.9408450704225352,0.9277777777777778,0.9342657342657342,0.04359329813569316,0.08651798826403181,0.09273288483357232
